document_id,title,authority,authority_level,document_type,version,publish_date,effective_date,replaced_by,status,diseases,scenarios,language,source_url,local_file,sha256,qianfan_kb,notes
CORE001,关于加强基层慢性病健康管理服务的指导意见,国家卫生健康委等,P1,nhc_policy,2025,2025-10-29,,,active,GENERAL_HEALTH|PRIMARY_CARE|MULTIMORBIDITY,followup|screening|risk_assessment|referral|health_record,zh,https://www.nhc.gov.cn/jws/c100073/202510/3974d142eb1c4dd385b6e880f8617dcc.shtml,knowledge/raw/01_core/CORE001.html,4f5a1427ee79fd229bebaba84192e90d0d459c215adb63c50aa749b2f63303e8,KB_CORE,navigation status 412 (WZWS challenge) but body fully rendered
CORE002,基层慢性病健康管理服务能力建设指引,国家卫生健康委,P1,nhc_policy,2025,2025-11-20,,,active,GENERAL_HEALTH|PRIMARY_CARE|MULTIMORBIDITY,followup|screening|risk_assessment|referral|health_record,zh,https://www.nhc.gov.cn/jws/c100073/202511/d3b6755fe7004cdeac938bf77b6a4a80.shtml,knowledge/raw/01_core/CORE002.html,99c2c8d7ba40147aa51ae4c95dedb17d1c39c392a71893625d7d53278279cc09,KB_CORE,page body is authoritative; attachment PDF optional supplement; 官方附件 PDF 为纯扫描件（PyMuPDF 抽取 0 字符 / 10 页），需 OCR 才能全文入库; navigation status 412 (WZWS challenge) but body fully rendered; annex pdf: knowledge/raw/01_core/CORE002.pdf
CORE003,国家基本公共卫生服务规范（第三版）,国家卫生计生委,P1,nhc_policy,第三版,2017-03-28,,,active,GENERAL_HEALTH|PRIMARY_CARE|HYPERTENSION|DIABETES|ELDERLY_HEALTH,followup|screening|risk_assessment|education|health_record,zh,https://www.nhc.gov.cn/jws/s3578/201703/d20c37e23e1f4c7db7b8e25f34473e1b.shtml,knowledge/raw/01_core/CORE003.html,598dba23d13bf4bad06f027949a65570fa9197e19135b874270be9d7d5157534,KB_CORE,notice page; full annexes are attachment PDFs on the same official page; navigation status 412 (WZWS challenge) but body fully rendered; annex pdf: knowledge/raw/01_core/CORE003.pdf
CORE004,关于做好2025年基本公共卫生服务工作的通知,国家卫生健康委等,P1,nhc_policy,2025,2025-06-26,,,active,GENERAL_HEALTH|PRIMARY_CARE,followup|screening|health_record,zh,https://www.nhc.gov.cn/jws/c100073/202506/14a23782324542f59137bbf24a1c988f.shtml,knowledge/raw/01_core/CORE004.html,1924e7791e88f6291b7476b310c92cc90a67c2783f05521c1a64d69e97e1a237,KB_CORE,navigation status 412 (WZWS challenge) but body fully rendered
CORE005,中国公民健康素养——基本知识与技能（2024年版）,国家卫生健康委,P1,nhc_policy,2024版,2024-05-30,,,active,GENERAL_HEALTH|LIFESTYLE,education|lifestyle|risk_assessment,zh,https://www.nhc.gov.cn/xcs/c100123/202405/73a4927142f34152abed875634a3c13b.shtml,knowledge/raw/01_core/CORE005.html,a99950ea2dc6cf43e6c61cec7e3e287ca382b2d7be6518c347c88cc55a8bf36a,KB_CORE,navigation status 412 (WZWS challenge) but body fully rendered
CORE006,中国公民健康素养——基本知识与技能释义（2024年版）,国家卫生健康委,P1,nhc_policy,2024版,2024-05-30,,,active,GENERAL_HEALTH|LIFESTYLE,education|lifestyle|risk_assessment,zh,https://www.nhc.gov.cn/xcs/c100122/202405/f251e896a50a49ff8c632b4b3da93126.shtml,knowledge/raw/01_core/CORE006.html,27f4da940f4491a6da2b3a8a770e59fab17abc95751ccf45b4246a530612de73,KB_CORE,navigation status 412 (WZWS challenge) but body fully rendered; annex pdf: knowledge/raw/01_core/CORE006.pdf
HTN001,基层医疗卫生机构高血压防治管理标准 WS/T 872—2025,国家卫生健康委,P0,national_standard,WS/T 872—2025,2025-09-30,2026-03-01,,active,HYPERTENSION|CARDIOVASCULAR,followup|screening|risk_assessment|medication_safety|referral,zh,https://www.nhc.gov.cn/wjw/c100309/202509/b601cb822b25461f92f7aa66c03495a8.shtml,knowledge/raw/02_hypertension/HTN001.html,6058412d729aa29ee322ce2aac8adbafdea1a6515603533271e79c3c38719ac2,KB_HTN,standard release notice page; standard text PDF is an attachment on the same page; annex pdf: knowledge/raw/02_hypertension/HTN001.pdf
HTN002,国家基层高血压防治管理指南 2025版,国家心血管病中心,P3,professional_guideline,2025版,2025-09-24,,,active,HYPERTENSION|CARDIOVASCULAR,followup|risk_assessment|medication_safety|lifestyle|referral,zh,https://hbp-office.nccd.org.cn/download.html,knowledge/raw/02_hypertension/HTN002.html,b47f6630619f960f856dab2c20f99a1d8871bd983245439604cc64b4a49d12d0,KB_HTN,official download page of National Center for Cardiovascular Diseases; annex pdf: knowledge/raw/02_hypertension/HTN002.pdf
HTN003,健康中国行动—心脑血管疾病防治行动实施方案（2023—2030年）,国家卫生健康委等,P1,nhc_policy,2023—2030,2023-11-14,,,active,CARDIOVASCULAR|HYPERTENSION|DYSLIPIDEMIA,screening|risk_assessment|education|referral,zh,https://www.nhc.gov.cn/ylyjs/gzdt/202311/a40dcf8a65314b818c46c9d1e683b9c3.shtml,knowledge/raw/02_hypertension/HTN003.html,ca3f4ff9e042f0b3ab5c8ed0ebac4af8af8d396b71824618b38e96149d0a630c,KB_HTN,navigation status 412 (WZWS challenge) but body fully rendered
DM001,健康中国行动——糖尿病防治行动实施方案（2024—2030年）,国家卫生健康委等,P1,nhc_policy,2024—2030,2025-06-06,,,active,DIABETES|MULTIMORBIDITY,screening|risk_assessment|education|referral|followup,zh,https://www.nhc.gov.cn/wjw/c100375/202407/752d85bddda5420eb1c1fe3c2772a100.shtml,knowledge/raw/03_diabetes/DM001.html,b9b10976eda839d629e3ae547d07fd66cea86fa30b04a9d4468c7d1dda56c4c5,KB_DM,navigation status 412 (WZWS challenge) but body fully rendered
